LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedST,TyreLife,Compound,Driver,LapNumber,PitInTime,PitOutTime,TrackStatus,Year,Race
96.776,30.938,41.91,23.928,299.0,23.0,HARD,PER,35.0,,,1,2024,Bahrain
99.365,31.014,41.781,26.57,299.0,24.0,HARD,PER,36.0,0 days 01:58:30.216000,,1,2024,Bahrain
115.808,51.096,41.214,23.498,223.0,1.0,SOFT,PER,37.0,,0 days 01:58:54.639000,1,2024,Bahrain
94.804,30.581,40.931,23.292,295.0,2.0,SOFT,PER,38.0,,,1,2024,Bahrain
94.607,30.563,40.893,23.151,294.0,3.0,SOFT,PER,39.0,,,1,2024,Bahrain
94.364,30.4,40.772,23.192,297.0,4.0,SOFT,PER,40.0,,,1,2024,Bahrain
94.4,30.351,40.884,23.165,301.0,5.0,SOFT,PER,41.0,,,1,2024,Bahrain
94.525,30.299,40.985,23.241,301.0,6.0,SOFT,PER,42.0,,,1,2024,Bahrain
94.797,30.403,41.148,23.246,301.0,7.0,SOFT,PER,43.0,,,1,2024,Bahrain
94.799,30.389,41.028,23.382,298.0,8.0,SOFT,PER,44.0,,,1,2024,Bahrain
94.592,30.338,40.986,23.268,298.0,9.0,SOFT,PER,45.0,,,1,2024,Bahrain
94.844,30.41,41.109,23.325,297.0,10.0,SOFT,PER,46.0,,,1,2024,Bahrain
94.73,30.281,41.074,23.375,299.0,11.0,SOFT,PER,47.0,,,1,2024,Bahrain
94.885,30.358,41.147,23.38,302.0,12.0,SOFT,PER,48.0,,,1,2024,Bahrain
94.966,30.4,41.133,23.433,300.0,13.0,SOFT,PER,49.0,,,1,2024,Bahrain
95.082,30.366,41.337,23.379,301.0,14.0,SOFT,PER,50.0,,,1,2024,Bahrain
94.94,30.36,41.144,23.436,304.0,15.0,SOFT,PER,51.0,,,1,2024,Bahrain
95.183,30.577,41.129,23.477,299.0,16.0,SOFT,PER,52.0,,,1,2024,Bahrain
95.842,30.638,41.522,23.682,299.0,17.0,SOFT,PER,53.0,,,1,2024,Bahrain
95.459,30.578,41.382,23.499,302.0,18.0,SOFT,PER,54.0,,,1,2024,Bahrain
95.611,30.683,41.42,23.508,303.0,19.0,SOFT,PER,55.0,,,1,2024,Bahrain
95.568,30.539,41.406,23.623,304.0,20.0,SOFT,PER,56.0,,,1,2024,Bahrain
95.746,30.521,41.6,23.625,306.0,21.0,SOFT,PER,57.0,,,1,2024,Bahrain
97.236,30.974,42.366,23.896,297.0,5.0,SOFT,SAI,2.0,,,1,2024,Bahrain
97.08,31.049,42.179,23.852,300.0,6.0,SOFT,SAI,3.0,,,1,2024,Bahrain
97.264,30.957,42.373,23.934,304.0,7.0,SOFT,SAI,4.0,,,1,2024,Bahrain
98.032,30.967,42.821,24.244,324.0,8.0,SOFT,SAI,5.0,,,1,2024,Bahrain
97.741,30.879,42.803,24.059,325.0,9.0,SOFT,SAI,6.0,,,1,2024,Bahrain
98.26,30.847,43.148,24.265,326.0,10.0,SOFT,SAI,7.0,,,1,2024,Bahrain
98.183,31.341,42.701,24.141,316.0,11.0,SOFT,SAI,8.0,,,1,2024,Bahrain
98.03,30.99,42.868,24.172,323.0,12.0,SOFT,SAI,9.0,,,1,2024,Bahrain
97.656,31.266,42.386,24.004,324.0,14.0,SOFT,SAI,11.0,,,1,2024,Bahrain
97.65,31.089,42.46,24.101,299.0,15.0,SOFT,SAI,12.0,,,1,2024,Bahrain
97.243,31.025,42.212,24.006,298.0,16.0,SOFT,SAI,13.0,,,1,2024,Bahrain
99.753,31.011,42.119,26.623,298.0,17.0,SOFT,SAI,14.0,0 days 01:22:50.807000,,1,2024,Bahrain
117.225,51.656,42.013,23.556,220.0,1.0,HARD,SAI,15.0,,0 days 01:23:15.387000,1,2024,Bahrain
96.376,30.412,42.131,23.833,325.0,2.0,HARD,SAI,16.0,,,1,2024,Bahrain
95.507,30.202,41.758,23.547,332.0,3.0,HARD,SAI,17.0,,,1,2024,Bahrain
96.088,30.59,41.964,23.534,322.0,4.0,HARD,SAI,18.0,,,1,2024,Bahrain
96.236,30.805,41.897,23.534,293.0,5.0,HARD,SAI,19.0,,,1,2024,Bahrain
96.034,30.786,41.66,23.588,297.0,6.0,HARD,SAI,20.0,,,1,2024,Bahrain
96.104,30.796,41.752,23.556,298.0,7.0,HARD,SAI,21.0,,,1,2024,Bahrain
96.008,30.686,41.77,23.552,299.0,8.0,HARD,SAI,22.0,,,1,2024,Bahrain
96.149,30.738,41.797,23.614,300.0,9.0,HARD,SAI,23.0,,,1,2024,Bahrain
96.2,30.698,41.881,23.621,301.0,10.0,HARD,SAI,24.0,,,1,2024,Bahrain
96.22,30.724,41.907,23.589,301.0,11.0,HARD,SAI,25.0,,,1,2024,Bahrain
96.221,30.714,41.878,23.629,302.0,12.0,HARD,SAI,26.0,,,1,2024,Bahrain
96.272,30.807,41.836,23.629,301.0,13.0,HARD,SAI,27.0,,,1,2024,Bahrain
96.534,30.901,41.965,23.668,299.0,14.0,HARD,SAI,28.0,,,1,2024,Bahrain
96.6,30.852,41.97,23.778,301.0,15.0,HARD,SAI,29.0,,,1,2024,Bahrain
96.337,30.746,41.897,23.694,303.0,16.0,HARD,SAI,30.0,,,1,2024,Bahrain
96.537,30.851,41.959,23.727,301.0,17.0,HARD,SAI,31.0,,,1,2024,Bahrain
96.762,30.873,42.115,23.774,303.0,18.0,HARD,SAI,32.0,,,1,2024,Bahrain
96.556,30.833,41.987,23.736,303.0,19.0,HARD,SAI,33.0,,,1,2024,Bahrain
96.551,30.858,41.933,23.76,301.0,20.0,HARD,SAI,34.0,,,1,2024,Bahrain
99.274,30.872,42.117,26.285,301.0,21.0,HARD,SAI,35.0,0 days 01:56:56.614000,,1,2024,Bahrain
115.62,50.852,41.528,23.24,222.0,1.0,HARD,SAI,36.0,,0 days 01:57:20.500000,1,2024,Bahrain
95.302,30.695,41.39,23.217,296.0,2.0,HARD,SAI,37.0,,,1,2024,Bahrain
95.1,30.631,41.329,23.14,300.0,3.0,HARD,SAI,38.0,,,1,2024,Bahrain
94.709,30.481,41.066,23.162,299.0,4.0,HARD,SAI,39.0,,,1,2024,Bahrain
94.739,30.382,41.146,23.211,303.0,5.0,HARD,SAI,40.0,,,1,2024,Bahrain
95.041,30.638,41.205,23.198,303.0,6.0,HARD,SAI,41.0,,,1,2024,Bahrain
94.861,30.448,41.195,23.218,301.0,7.0,HARD,SAI,42.0,,,1,2024,Bahrain
94.795,30.387,41.201,23.207,302.0,8.0,HARD,SAI,43.0,,,1,2024,Bahrain
94.507,30.35,40.971,23.186,301.0,9.0,HARD,SAI,44.0,,,1,2024,Bahrain
94.79,30.398,41.123,23.269,301.0,10.0,HARD,SAI,45.0,,,1,2024,Bahrain
94.853,30.466,41.116,23.271,300.0,11.0,HARD,SAI,46.0,,,1,2024,Bahrain
94.901,30.455,41.086,23.36,303.0,12.0,HARD,SAI,47.0,,,1,2024,Bahrain
94.981,30.602,41.028,23.351,303.0,13.0,HARD,SAI,48.0,,,1,2024,Bahrain
95.44,30.499,41.58,23.361,302.0,14.0,HARD,SAI,49.0,,,1,2024,Bahrain
95.142,30.468,41.331,23.343,303.0,15.0,HARD,SAI,50.0,,,1,2024,Bahrain
95.282,30.502,41.387,23.393,304.0,16.0,HARD,SAI,51.0,,,1,2024,Bahrain
95.083,30.522,41.259,23.302,303.0,17.0,HARD,SAI,52.0,,,1,2024,Bahrain
95.211,30.491,41.288,23.432,301.0,18.0,HARD,SAI,53.0,,,1,2024,Bahrain
95.309,30.555,41.277,23.477,306.0,19.0,HARD,SAI,54.0,,,1,2024,Bahrain
95.407,30.699,41.192,23.516,306.0,20.0,HARD,SAI,55.0,,,1,2024,Bahrain
95.305,30.593,41.18,23.532,301.0,21.0,HARD,SAI,56.0,,,1,2024,Bahrain
95.327,30.55,41.125,23.652,305.0,22.0,HARD,SAI,57.0,,,1,2024,Bahrain
96.862,31.166,41.864,23.832,293.0,5.0,SOFT,LEC,2.0,,,1,2024,Bahrain
98.062,31.223,42.856,23.983,296.0,6.0,SOFT,LEC,3.0,,,1,2024,Bahrain
97.752,30.958,42.784,24.01,313.0,7.0,SOFT,LEC,4.0,,,1,2024,Bahrain
98.131,31.192,42.872,24.067,298.0,8.0,SOFT,LEC,5.0,,,1,2024,Bahrain
97.782,30.936,42.751,24.095,312.0,9.0,SOFT,LEC,6.0,,,1,2024,Bahrain
98.957,31.008,43.761,24.188,310.0,10.0,SOFT,LEC,7.0,,,1,2024,Bahrain
98.136,31.2,42.753,24.183,316.0,11.0,SOFT,LEC,8.0,,,1,2024,Bahrain
97.844,31.147,42.533,24.164,314.0,12.0,SOFT,LEC,9.0,,,1,2024,Bahrain
101.737,32.241,42.647,26.849,297.0,14.0,SOFT,LEC,11.0,0 days 01:17:59.892000,,1,2024,Bahrain
117.471,51.178,42.371,23.922,220.0,1.0,HARD,LEC,12.0,,0 days 01:18:23.940000,1,2024,Bahrain
96.432,30.58,42.173,23.679,314.0,2.0,HARD,LEC,13.0,,,1,2024,Bahrain
96.756,30.787,42.232,23.737,305.0,3.0,HARD,LEC,14.0,,,1,2024,Bahrain
96.813,30.831,42.256,23.726,298.0,4.0,HARD,LEC,15.0,,,1,2024,Bahrain
96.673,30.606,42.32,23.747,320.0,5.0,HARD,LEC,16.0,,,1,2024,Bahrain
97.302,31.109,42.332,23.861,318.0,6.0,HARD,LEC,17.0,,,1,2024,Bahrain
97.438,31.18,42.467,23.791,298.0,7.0,HARD,LEC,18.0,,,1,2024,Bahrain
96.821,30.986,42.03,23.805,298.0,8.0,HARD,LEC,19.0,,,1,2024,Bahrain
96.794,30.839,42.103,23.852,299.0,9.0,HARD,LEC,20.0,,,1,2024,Bahrain
96.977,31.089,42.091,23.797,300.0,10.0,HARD,LEC,21.0,,,1,2024,Bahrain
96.796,30.994,41.976,23.826,299.0,11.0,HARD,LEC,22.0,,,1,2024,Bahrain
96.987,31.131,41.941,23.915,300.0,12.0,HARD,LEC,23.0,,,1,2024,Bahrain
96.924,31.083,41.904,23.937,298.0,13.0,HARD,LEC,24.0,,,1,2024,Bahrain
96.76,31.059,41.828,23.873,299.0,14.0,HARD,LEC,25.0,,,1,2024,Bahrain
96.81,30.991,41.901,23.918,300.0,15.0,HARD,LEC,26.0,,,1,2024,Bahrain
96.831,31.081,41.881,23.869,301.0,16.0,HARD,LEC,27.0,,,1,2024,Bahrain
96.907,31.019,41.971,23.917,300.0,17.0,HARD,LEC,28.0,,,1,2024,Bahrain
96.963,30.974,42.065,23.924,300.0,18.0,HARD,LEC,29.0,,,1,2024,Bahrain
97.158,31.134,42.03,23.994,301.0,19.0,HARD,LEC,30.0,,,1,2024,Bahrain
97.031,30.999,42.079,23.953,300.0,20.0,HARD,LEC,31.0,,,1,2024,Bahrain
96.941,31.153,41.922,23.866,294.0,21.0,HARD,LEC,32.0,,,1,2024,Bahrain
96.741,30.99,41.868,23.883,298.0,22.0,HARD,LEC,33.0,,,1,2024,Bahrain
99.614,31.219,41.932,26.463,296.0,23.0,HARD,LEC,34.0,0 days 01:55:31.860000,,1,2024,Bahrain
116.166,51.681,41.26,23.225,219.0,1.0,HARD,LEC,35.0,,0 days 01:55:55.941000,1,2024,Bahrain
94.09,30.063,40.65,23.377,318.0,2.0,HARD,LEC,36.0,,,1,2024,Bahrain
94.897,30.611,40.962,23.324,293.0,3.0,HARD,LEC,37.0,,,1,2024,Bahrain
94.783,30.55,40.953,23.28,298.0,4.0,HARD,LEC,38.0,,,1,2024,Bahrain
95.087,30.604,41.077,23.406,298.0,5.0,HARD,LEC,39.0,,,1,2024,Bahrain
94.859,30.507,40.836,23.516,299.0,6.0,HARD,LEC,40.0,,,1,2024,Bahrain
95.028,30.539,41.033,23.456,299.0,7.0,HARD,LEC,41.0,,,1,2024,Bahrain
94.982,30.413,41.067,23.502,305.0,8.0,HARD,LEC,42.0,,,1,2024,Bahrain
95.192,30.286,41.367,23.539,315.0,9.0,HARD,LEC,43.0,,,1,2024,Bahrain
95.051,30.468,41.124,23.459,313.0,10.0,HARD,LEC,44.0,,,1,2024,Bahrain
95.22,30.355,41.281,23.584,318.0,11.0,HARD,LEC,45.0,,,1,2024,Bahrain
95.058,30.238,41.4,23.42,320.0,12.0,HARD,LEC,46.0,,,1,2024,Bahrain
95.057,30.577,41.115,23.365,301.0,13.0,HARD,LEC,47.0,,,1,2024,Bahrain
95.308,30.64,41.183,23.485,295.0,14.0,HARD,LEC,48.0,,,1,2024,Bahrain
95.302,30.689,41.12,23.493,298.0,15.0,HARD,LEC,49.0,,,1,2024,Bahrain
95.383,30.639,41.285,23.459,299.0,16.0,HARD,LEC,50.0,,,1,2024,Bahrain
95.418,30.721,41.116,23.581,299.0,17.0,HARD,LEC,51.0,,,1,2024,Bahrain
95.394,30.693,41.156,23.545,298.0,18.0,HARD,LEC,52.0,,,1,2024,Bahrain
95.48,30.777,41.227,23.476,299.0,19.0,HARD,LEC,53.0,,,1,2024,Bahrain
95.265,30.7,41.077,23.488,301.0,20.0,HARD,LEC,54.0,,,1,2024,Bahrain
95.785,30.857,41.308,23.62,299.0,21.0,HARD,LEC,55.0,,,1,2024,Bahrain
95.924,30.744,41.565,23.615,299.0,22.0,HARD,LEC,56.0,,,1,2024,Bahrain
96.324,30.856,41.655,23.813,299.0,23.0,HARD,LEC,57.0,,,1,2024,Bahrain
96.635,30.829,42.038,23.768,298.0,5.0,SOFT,RUS,2.0,,,1,2024,Bahrain
96.406,30.367,42.202,23.837,318.0,6.0,SOFT,RUS,3.0,,,1,2024,Bahrain
97.738,31.135,42.609,23.994,296.0,7.0,SOFT,RUS,4.0,,,1,2024,Bahrain
98.116,31.636,42.573,23.907,287.0,8.0,SOFT,RUS,5.0,,,1,2024,Bahrain
97.784,31.36,42.508,23.916,289.0,9.0,SOFT,RUS,6.0,,,1,2024,Bahrain
98.082,31.48,42.577,24.025,286.0,10.0,SOFT,RUS,7.0,,,1,2024,Bahrain
97.862,31.238,42.646,23.978,288.0,11.0,SOFT,RUS,8.0,,,1,2024,Bahrain
97.73,31.12,42.578,24.032,292.0,12.0,SOFT,RUS,9.0,,,1,2024,Bahrain
100.515,31.392,42.646,26.477,284.0,14.0,SOFT,RUS,11.0,0 days 01:17:56.394000,,1,2024,Bahrain
118.46,52.57,42.189,23.701,215.0,1.0,HARD,RUS,12.0,,0 days 01:18:21.160000,1,2024,Bahrain
97.167,30.759,42.479,23.929,296.0,2.0,HARD,RUS,13.0,,,1,2024,Bahrain
97.571,30.851,42.74,23.98,319.0,3.0,HARD,RUS,14.0,,,1,2024,Bahrain
96.922,31.038,42.152,23.732,291.0,4.0,HARD,RUS,15.0,,,1,2024,Bahrain
96.683,31.03,42.084,23.569,295.0,5.0,HARD,RUS,16.0,,,1,2024,Bahrain
96.234,30.747,41.766,23.721,298.0,6.0,HARD,RUS,17.0,,,1,2024,Bahrain
97.819,31.462,42.532,23.825,290.0,7.0,HARD,RUS,18.0,,,1,2024,Bahrain
97.233,31.101,42.267,23.865,293.0,8.0,HARD,RUS,19.0,,,1,2024,Bahrain
96.732,30.862,42.099,23.771,292.0,9.0,HARD,RUS,20.0,,,1,2024,Bahrain
96.769,30.87,42.18,23.719,294.0,10.0,HARD,RUS,21.0,,,1,2024,Bahrain
96.992,30.84,42.313,23.839,295.0,11.0,HARD,RUS,22.0,,,1,2024,Bahrain
96.954,31.043,42.088,23.823,290.0,12.0,HARD,RUS,23.0,,,1,2024,Bahrain
96.736,30.867,42.107,23.762,295.0,13.0,HARD,RUS,24.0,,,1,2024,Bahrain
96.928,30.941,42.199,23.788,295.0,14.0,HARD,RUS,25.0,,,1,2024,Bahrain
96.801,30.867,42.161,23.773,295.0,15.0,HARD,RUS,26.0,,,1,2024,Bahrain
96.815,30.93,42.115,23.77,294.0,16.0,HARD,RUS,27.0,,,1,2024,Bahrain
96.911,30.98,42.149,23.782,294.0,17.0,HARD,RUS,28.0,,,1,2024,Bahrain
97.066,30.993,42.224,23.849,295.0,18.0,HARD,RUS,29.0,,,1,2024,Bahrain
97.186,31.03,42.221,23.935,294.0,19.0,HARD,RUS,30.0,,,1,2024,Bahrain
99.405,31.061,42.153,26.191,295.0,20.0,HARD,RUS,31.0,0 days 01:50:39.737000,,1,2024,Bahrain
117.267,52.151,41.641,23.475,217.0,1.0,HARD,RUS,32.0,,0 days 01:51:04.687000,1,2024,Bahrain
95.838,30.638,41.572,23.628,301.0,2.0,HARD,RUS,33.0,,,1,2024,Bahrain
95.241,30.286,41.651,23.304,309.0,3.0,HARD,RUS,34.0,,,1,2024,Bahrain
95.772,30.587,41.817,23.368,297.0,4.0,HARD,RUS,35.0,,,1,2024,Bahrain
95.434,30.608,41.494,23.332,296.0,5.0,HARD,RUS,36.0,,,1,2024,Bahrain
95.481,30.566,41.586,23.329,298.0,6.0,HARD,RUS,37.0,,,1,2024,Bahrain
95.479,30.6,41.469,23.41,297.0,7.0,HARD,RUS,38.0,,,1,2024,Bahrain
95.204,30.547,41.329,23.328,299.0,8.0,HARD,RUS,39.0,,,1,2024,Bahrain
95.065,30.39,41.347,23.328,299.0,9.0,HARD,RUS,40.0,,,1,2024,Bahrain
95.093,30.541,41.25,23.302,296.0,10.0,HARD,RUS,41.0,,,1,2024,Bahrain
95.136,30.57,41.196,23.37,294.0,11.0,HARD,RUS,42.0,,,1,2024,Bahrain
95.193,30.626,41.237,23.33,294.0,12.0,HARD,RUS,43.0,,,1,2024,Bahrain
95.162,30.573,41.252,23.337,295.0,13.0,HARD,RUS,44.0,,,1,2024,Bahrain
95.276,30.599,41.328,23.349,300.0,14.0,HARD,RUS,45.0,,,1,2024,Bahrain
96.657,30.649,42.244,23.764,302.0,15.0,HARD,RUS,46.0,,,1,2024,Bahrain
95.805,30.525,41.724,23.556,323.0,16.0,HARD,RUS,47.0,,,1,2024,Bahrain
96.059,30.794,41.795,23.47,305.0,17.0,HARD,RUS,48.0,,,1,2024,Bahrain
95.954,30.723,41.727,23.504,299.0,18.0,HARD,RUS,49.0,,,1,2024,Bahrain
96.181,30.691,41.93,23.56,300.0,19.0,HARD,RUS,50.0,,,1,2024,Bahrain
95.852,30.639,41.734,23.479,305.0,20.0,HARD,RUS,51.0,,,1,2024,Bahrain
96.186,30.678,41.927,23.581,303.0,21.0,HARD,RUS,52.0,,,1,2024,Bahrain
95.979,30.752,41.74,23.487,302.0,22.0,HARD,RUS,53.0,,,1,2024,Bahrain
96.013,30.744,41.687,23.582,302.0,23.0,HARD,RUS,54.0,,,1,2024,Bahrain
96.151,30.818,41.709,23.624,303.0,24.0,HARD,RUS,55.0,,,1,2024,Bahrain
96.35,30.808,41.885,23.657,298.0,25.0,HARD,RUS,56.0,,,1,2024,Bahrain
96.44,30.765,42.018,23.657,300.0,26.0,HARD,RUS,57.0,,,1,2024,Bahrain
98.01,31.353,42.618,24.039,298.0,5.0,SOFT,NOR,2.0,,,1,2024,Bahrain
97.787,31.112,42.476,24.199,318.0,6.0,SOFT,NOR,3.0,,,1,2024,Bahrain
97.45,31.115,42.193,24.142,294.0,7.0,SOFT,NOR,4.0,,,1,2024,Bahrain
